,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
5,Kandrian,36,PG,1514296982,100,-6.21,149.55,74.97,2.93
7,Rawlins,90,US,1514294100,79,41.79,-107.24,24.8,14.99
13,Kuyanovo,88,RU,1514296986,88,56.95,86.47,20.65,18.59
14,Beringovskiy,24,RU,1514296987,100,63.05,179.32,-3.2,8.41
15,Oleksandrivka,20,UA,1514296988,95,48.74,37.49,39.19,9.86
16,Bellefontaine Neighbors,90,US,1514296260,66,38.74,-90.23,15.8,12.75
19,Hasaki,20,JP,1514295000,48,35.73,140.83,41.0,4.7
21,Mount Pleasant,75,US,1514294100,64,33.16,-94.97,37.4,8.05
24,Lamin,0,GM,1514293200,25,13.35,-16.43,86.0,13.87
25,Bermejo,0,AR,1514296995,54,-22.73,-64.34,87.43,2.93
26,Nizhniy Kuranakh,0,RU,1514296996,0,58.84,125.49,-31.6,2.59
33,Antofagasta,75,CL,1514293200,60,-23.65,-70.4,69.8,4.7
34,Tooele,90,US,1514294880,85,40.53,-112.3,24.8,3.36
35,Snyder,1,US,1514294100,86,32.72,-100.92,32.0,10.29
41,Benguela,0,AO,1514297004,89,-12.58,13.4,77.8,9.75
42,Muravlenko,48,RU,1514297004,73,63.79,74.5,-3.11,9.42
43,Yenagoa,8,NG,1514297005,46,4.92,6.26,92.07,3.6
44,Rusape,92,ZW,1514297005,100,-18.53,32.12,62.86,4.94
52,Jinsha,0,CN,1514293200,67,24.49,118.41,59.0,13.42
53,Varnavino,64,RU,1514297011,84,61.19,46.56,14.08,7.63
59,Abu Dhabi,0,AE,1514293200,27,24.47,54.37,78.8,10.29
63,Chara,0,GR,1514294400,66,39.42,22.43,55.4,4.7
67,Great Yarmouth,20,GB,1514296200,75,52.61,1.73,42.8,13.87
70,Fremont,20,US,1514295300,87,37.55,-121.99,44.6,0.69
72,Fortuna,40,ES,1514293200,48,38.18,-1.13,66.2,3.36
84,Pochinok,88,RU,1514297026,95,54.4,32.44,36.76,13.22
87,Penhold,5,CA,1514293200,74,52.13,-113.87,-22.01,3.36
95,Kongoussi,0,BF,1514297031,26,13.32,-1.53,88.47,11.77
97,Nyaunglebin,0,MM,1514297033,86,17.95,96.73,68.76,1.7
106,Morondava,8,MG,1514297039,79,-20.3,44.28,86.44,8.97
107,Mehamn,80,NO,1514297039,78,71.03,27.85,23.22,11.99
110,Garachine,56,PA,1514297041,98,8.06,-78.36,80.86,4.72
113,San Quintin,100,PH,1514297042,83,17.54,120.52,73.89,3.94
118,Abonnema,12,NG,1514293200,37,4.71,6.79,86.0,5.82
124,Wamba,0,CD,1514297047,35,2.14,27.99,87.12,4.83
135,Sabha,0,LY,1514297052,41,27.03,14.43,61.51,5.95
139,Haizhou,0,CN,1514297055,100,34.58,119.13,39.06,9.64
140,Hobyo,0,SO,1514297055,74,5.35,48.53,77.98,17.81
141,Nemuro,0,JP,1514297056,100,43.32,145.57,27.72,34.47
145,Riohacha,20,CO,1514293200,94,11.54,-72.91,78.8,8.05
147,Tabas,80,IR,1514297058,51,33.6,56.92,53.32,13.67
153,Inirida,48,CO,1514297061,78,3.87,-67.92,81.94,2.93
155,Tokur,56,RU,1514297062,65,53.13,132.9,-16.16,5.17
157,Suntar,44,RU,1514297063,37,62.16,117.65,-24.62,5.73
161,Ejido Hermosillo,1,MX,1514293020,24,32.51,-114.92,46.4,10.29
171,Raton,1,US,1514296380,67,36.9,-104.44,17.6,5.82
174,Revelstoke,90,CA,1514293200,65,50.99,-118.19,8.6,3.36
185,Edson,40,CA,1514293200,67,53.59,-116.44,-27.41,3.36
186,Roald,90,NO,1514296200,100,62.58,6.12,33.8,27.51
190,Lahad Datu,8,MY,1514297077,100,5.02,118.33,74.97,3.83
191,Shache,88,CN,1514297077,95,38.42,77.24,25.33,4.94
194,Anahuac,90,US,1514296500,65,29.77,-94.68,59.0,9.17
196,Portland,20,US,1514296380,92,45.52,-122.67,32.0,3.36
197,Gold Coast,40,AU,1514293200,88,-28.0,153.41,69.8,3.36
199,Victoria Point,75,AU,1514293200,88,-27.58,153.3,71.6,9.17
201,Ouidah,20,BJ,1514293200,46,6.37,2.09,89.6,4.7
202,Miyoshi,40,JP,1514293200,80,34.81,132.85,33.8,8.05
203,Norman Wells,75,CA,1514293200,74,65.28,-126.83,-22.01,3.36
205,Pucara,75,BO,1514293200,71,-16.6,-68.57,50.0,5.82
208,Elektrenai,0,LT,1514296200,80,54.77,24.63,39.2,8.05
210,Gabriel Leyva Solano,32,MX,1514297087,83,25.66,-108.64,59.62,2.48
215,Berettyoujfalu,0,HU,1514295000,65,47.22,21.55,48.2,10.29
218,Bestobe,0,KZ,1514297090,81,52.5,73.1,22.81,17.02
221,Trairi,80,BR,1514296905,100,-3.28,-39.27,80.19,15.12
224,Bria,12,CF,1514297093,43,6.54,21.99,87.07,6.73
225,Klaksvik,75,FO,1514296260,100,62.23,-6.59,32.0,25.28
226,Robertsport,0,LR,1514297094,100,6.75,-11.37,82.89,6.17
227,Puro,56,PH,1514297094,98,13.13,123.76,75.51,3.27
229,Bubaque,0,GW,1514293200,30,11.28,-15.83,84.2,9.17
232,Berlevag,88,NO,1514297097,100,70.86,29.09,30.42,20.83
233,Laguna,40,MX,1514293200,71,27.52,-110.01,51.8,4.7
235,Waipawa,92,NZ,1514297098,93,-39.94,176.59,52.33,15.46
